id,status,date,version,component,title,root_cause,lesson_ids,tags,synthesized_to
e001,mature,2026-04-11,,,Sidecar + 基数压缩：always_on 6文件→2文件，de-layer 8KB→1.6KB，删除 skills-index（sidecar 消除补丁根因）,Sidecar + 基数压缩：always_on 6文件→2文件，de-layer 8KB→1.6KB，删除 skills-index（sidecar 消除补丁根因）,,always_on;skill,
e002,mature,2026-04-11,,,CLI-first 转型：禁用 filesystem/github/playwright/memory MCP，仅保留 chrome-devtools+context7,CLI-first 转型：禁用 filesystem/github/playwright/memory MCP，仅保留 chrome-devtools+context7,,cli;context;mcp,
e003,mature,2026-04-10,,,hooks 统一管理：dao-commit-msg + dao.ps1 hook 链接支持,hooks 统一管理：dao-commit-msg + dao.ps1 hook 链接支持,,commit,
e004,mature,2026-04-02,,,工作流→cycle+lens 架构重构,工作流→cycle+lens 架构重构,,cycle,
e005,mature,2026-04-02,,,全局规则脱轨修复 + references纳管,全局规则脱轨修复 + references纳管,,,
e006,mature,2026-03-29,,,W3+W4+OPT autopilot执行,W3+W4+OPT autopilot执行,,autopilot,
e007,mature,2026-03-29,,,同步前自审门,同步前自审门,,,
e008,mature,2026-03-29,,,W1无为化审查 + W2知识归位,W1无为化审查 + W2知识归位,,,
e009,mature,2026-03-29,,,dao-autopilot重构 + dao-commit无为化,dao-autopilot重构 + dao-commit无为化,,autopilot;commit,
e010,mature,2025.07,,,双文件模式明确化,双文件模式明确化,,,
e011,mature,2026-04-11,,,Sidecar 架构 + always_on 基数压缩,"- `always_on` 规则按 workspace 注入。3 个 dao-linked workspace 同时打开 = 6 个文件 × 3 = ~75KB context/轮
- 逐文件审视""行为塑形 vs 知识参考""：只有交互三态、推理链、铁律等**真正改变 AI 行为**的内容需要 always_on；终端安全详情、注意力锚点表等是**参考知识**，按需读取即可
- Sidecar 验证：移除无感切号的 `dao-terminal-resilience` junction 后，新对话仍可通过 windsurf-dao workspace 发现该 skill → 证明 Windsurf","T18,T19",always_on;context;model_decision;skill;symlink;切号,
e012,mature,2026-04-11,,,CLI-first 转型：MCP 精简,"- MCP 工具定义占上下文 ~28,600 tokens（89 个工具），每轮对话消耗巨大
- filesystem MCP 与 Windsurf 内建工具 100% 重叠
- github MCP 与 `gh` CLI 功能完全等价（v2.88.1 已验证 auth + proxy）
- playwright 与 chrome-devtools 高度重叠（截图/DOM/导航/填充）
- memory MCP 与 dao 哲学矛盾（知识归文件，Memory 理想态为空）
- 精简后 ~89 → ~32 工具，节省 ~17,500 tokens/轮",T17,auth;cli;context;dom;mcp;消耗,
